Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,time_created,1,,serial_number,1,,
Data,0,file_id,type,"4",,manufacturer,"255",,product,"0",,time_created,"995749880",,serial_number,"80945206",,
Definition,0,device_info,device_index,1,,manufacturer,1,,product,1,,product_name,13,,serial_number,1,,software_version,1,,timestamp,1,,
Data,0,device_info,device_index,"0",,manufacturer,"255",,product,"0",,product_name,"FIT Cookbook",,serial_number,"80945206",,software_version,"1.0",,timestamp,"995749880",s,
Definition,0,event,timestamp,1,,event,1,,event_type,1,,,,,,,,,,,,,,
Data,0,event,timestamp,"995749880",s,event,"0",,event_type,"0",,,,,,,,,,,,,,
Definition,0,record,timestamp,1,,distance,1,,speed,1,,cadence,1,,,,,,,,,,,
Data,0,record,timestamp,"995749900",s,distance,"22.86",m,speed,"1.143",m/s,cadence,"90",rpm,enhanced_speed,"1.143",m/s,,,,,,,
Definition,0,length,message_index,1,,start_time,1,,total_elapsed_time,1,,total_timer_time,1,,length_type,1,,timestamp,1,,avg_speed,1,,swim_stroke,1,,total_strokes,1,,avg_swimming_cadence,1,,
Data,0,length,message_index,"0",,start_time,"995749880",,total_elapsed_time,"20.0",s,total_timer_time,"20.0",s,length_type,"1",,timestamp,"995749900",,avg_speed,"1.143",m/s,swim_stroke,"0",swim_stroke,total_strokes,"30",strokes,avg_swimming_cadence,"90",strokes/min,
Definition,0,record,timestamp,1,,distance,1,,speed,1,,cadence,1,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"995749925",s,distance,"45.72",m,speed,"0.914",m/s,cadence,"48",rpm,enhanced_speed,"0.914",m/s,,,,,,,,,,,,,,,,
Definition,0,length,message_index,1,,start_time,1,,total_elapsed_time,1,,total_timer_time,1,,length_type,1,,timestamp,1,,avg_speed,1,,swim_stroke,1,,total_strokes,1,,avg_swimming_cadence,1,,
Data,0,length,message_index,"1",,start_time,"995749900",,total_elapsed_time,"25.0",s,total_timer_time,"25.0",s,length_type,"1",,timestamp,"995749925",,avg_speed,"0.914",m/s,swim_stroke,"0",swim_stroke,total_strokes,"20",strokes,avg_swimming_cadence,"48",strokes/min,
Definition,0,record,timestamp,1,,distance,1,,speed,1,,cadence,1,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"995749955",s,distance,"68.58",m,speed,"0.762",m/s,cadence,"20",rpm,enhanced_speed,"0.762",m/s,,,,,,,,,,,,,,,,
Definition,0,length,message_index,1,,start_time,1,,total_elapsed_time,1,,total_timer_time,1,,length_type,1,,timestamp,1,,avg_speed,1,,swim_stroke,1,,total_strokes,1,,avg_swimming_cadence,1,,
Data,0,length,message_index,"2",,start_time,"995749925",,total_elapsed_time,"30.0",s,total_timer_time,"30.0",s,length_type,"1",,timestamp,"995749955",,avg_speed,"0.762",m/s,swim_stroke,"0",swim_stroke,total_strokes,"10",strokes,avg_swimming_cadence,"20",strokes/min,
Definition,0,record,timestamp,1,,distance,1,,speed,1,,cadence,1,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"995749990",s,distance,"91.44",m,speed,"0.653",m/s,cadence,"34",rpm,enhanced_speed,"0.653",m/s,,,,,,,,,,,,,,,,
Definition,0,length,message_index,1,,start_time,1,,total_elapsed_time,1,,total_timer_time,1,,length_type,1,,timestamp,1,,avg_speed,1,,swim_stroke,1,,total_strokes,1,,avg_swimming_cadence,1,,
Data,0,length,message_index,"3",,start_time,"995749955",,total_elapsed_time,"35.0",s,total_timer_time,"35.0",s,length_type,"1",,timestamp,"995749990",,avg_speed,"0.653",m/s,swim_stroke,"0",swim_stroke,total_strokes,"20",strokes,avg_swimming_cadence,"34",strokes/min,
Definition,0,lap,message_index,1,,timestamp,1,,start_time,1,,total_elapsed_time,1,,total_timer_time,1,,total_distance,1,,first_length_index,1,,num_active_lengths,1,,num_lengths,1,,total_cycles,1,,avg_stroke_distance,1,,sport,1,,sub_sport,1,,
Data,0,lap,message_index,"0",,timestamp,"995749990",s,start_time,"995749880",,total_elapsed_time,"110.0",s,total_timer_time,"110.0",s,total_distance,"91.44",m,first_length_index,"0",,num_active_lengths,"4",lengths,num_lengths,"4",lengths,total_strokes,"80",strokes,avg_stroke_distance,"1.14",m,sport,"5",,sub_sport,"17",,
Definition,0,record,timestamp,1,,distance,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"995750050",s,distance,"114.3",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,0,length,message_index,1,,start_time,1,,total_elapsed_time,1,,total_timer_time,1,,length_type,1,,timestamp,1,,,,,,,,,,,,,,,,,,,,,,,
Data,0,length,message_index,"4",,start_time,"995749990",,total_elapsed_time,"60.0",s,total_timer_time,"60.0",s,length_type,"0",,timestamp,"995750050",,,,,,,,,,,,,,,,,,,,,,,
Definition,0,lap,message_index,1,,timestamp,1,,start_time,1,,total_elapsed_time,1,,total_timer_time,1,,total_distance,1,,first_length_index,1,,num_active_lengths,1,,num_lengths,1,,total_cycles,1,,avg_stroke_distance,1,,sport,1,,sub_sport,1,,
Data,0,lap,message_index,"1",,timestamp,"995750050",s,start_time,"995749990",,total_elapsed_time,"60.0",s,total_timer_time,"60.0",s,total_distance,"0.0",m,first_length_index,"4",,num_active_lengths,"0",lengths,num_lengths,"1",lengths,total_strokes,"0",strokes,sport,"5",,sub_sport,"17",,,,,
Definition,0,record,timestamp,1,,distance,1,,speed,1,,cadence,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"995750070",s,distance,"114.3",m,speed,"1.143",m/s,cadence,"90",rpm,enhanced_speed,"1.143",m/s,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,0,length,message_index,1,,start_time,1,,total_elapsed_time,1,,total_timer_time,1,,length_type,1,,timestamp,1,,avg_speed,1,,swim_stroke,1,,total_strokes,1,,avg_swimming_cadence,1,,,,,,,,,,,
Data,0,length,message_index,"5",,start_time,"995750050",,total_elapsed_time,"20.0",s,total_timer_time,"20.0",s,length_type,"1",,timestamp,"995750070",,avg_speed,"1.143",m/s,swim_stroke,"1",swim_stroke,total_strokes,"30",strokes,avg_swimming_cadence,"90",strokes/min,,,,,,,,,,
Definition,0,record,timestamp,1,,distance,1,,speed,1,,cadence,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"995750095",s,distance,"137.16",m,speed,"0.914",m/s,cadence,"48",rpm,enhanced_speed,"0.914",m/s,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,0,length,message_index,1,,start_time,1,,total_elapsed_time,1,,total_timer_time,1,,length_type,1,,timestamp,1,,avg_speed,1,,swim_stroke,1,,total_strokes,1,,avg_swimming_cadence,1,,,,,,,,,,,
Data,0,length,message_index,"6",,start_time,"995750070",,total_elapsed_time,"25.0",s,total_timer_time,"25.0",s,length_type,"1",,timestamp,"995750095",,avg_speed,"0.914",m/s,swim_stroke,"1",swim_stroke,total_strokes,"20",strokes,avg_swimming_cadence,"48",strokes/min,,,,,,,,,,
Definition,0,record,timestamp,1,,distance,1,,speed,1,,cadence,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"995750125",s,distance,"160.02",m,speed,"0.762",m/s,cadence,"20",rpm,enhanced_speed,"0.762",m/s,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,0,length,message_index,1,,start_time,1,,total_elapsed_time,1,,total_timer_time,1,,length_type,1,,timestamp,1,,avg_speed,1,,swim_stroke,1,,total_strokes,1,,avg_swimming_cadence,1,,,,,,,,,,,
