Data Structure Alignment [bytes]:,,,4
File:,device,,"1 n=device "
Message Name,Field Name,Products:,EXAMPLE
file_id,,,"f=all,1,, "
,type,,"1"
,manufacturer,,"1"
,product,,"1"
,serial_number,,"1"
,time_created,,"1"
,number,,"1"
,product_name,,"20"

file_creator,,,""
,software_version,,"1"
,hardware_version,,"1"

timestamp_correlation,,,""
,timestamp,,"0"
,fractional_timestamp,,"0"
,system_timestamp,,"0"
,fractional_system_timestamp,,"0"
,local_timestamp,,"0"
,timestamp_ms,,"0"
,system_timestamp_ms,,"0"

software,,,""
,message_index,,"1"
,version,,"1"
,part_number,,"16"

slave_device,,,""
,manufacturer,,"1"
,product,,"1"

capabilities,,,""
,languages,,"4"
,sports,,"1"
,workouts_supported,,"1"
,connectivity_supported,,"1"

file_capabilities,,,""
,message_index,,"1"
,type,,"1"
,flags,,"1"
,directory,,"16"
,max_count,,"1"
,max_size,,"1"

mesg_capabilities,,,""
,message_index,,"1"
,file,,"1"
,mesg_num,,"1"
,count_type,,"1"
,count,,"1"

field_capabilities,,,""
,message_index,,"1"
,file,,"1"
,mesg_num,,"1"
,field_num,,"1"
,count,,"1"

device_settings,,,""
,active_time_zone,,"1"
,utc_offset,,"1"
,time_offset,,"2"
,time_mode,,"2"
,time_zone_offset,,"2"
,backlight_mode,,"1"
,activity_tracker_enabled,,"1"
,clock_time,,"1"
,pages_enabled,,"1"
,move_alert_enabled,,"1"
,date_mode,,"1"
,display_orientation,,"1"
,mounting_side,,"1"
,default_page,,"1"
,autosync_min_steps,,"1"
,autosync_min_time,,"1"
,lactate_threshold_autodetect_enabled,,"0"
,ble_auto_upload_enabled,,"0"
,auto_sync_frequency,,"0"
,auto_activity_detect,,"0"
,number_of_screens,,"0"
,smart_notification_display_orientation,,"0"
,tap_interface,,"0"
,tap_sensitivity,,"1"

user_profile,,,""
,message_index,,"1"
,friendly_name,,"16"
,gender,,"1"
,age,,"1"
,height,,"1"
,weight,,"1"
,language,,"1"
,elev_setting,,"1"
,weight_setting,,"1"
,resting_heart_rate,,"1"
,default_max_running_heart_rate,,"1"
,default_max_biking_heart_rate,,"1"
,default_max_heart_rate,,"1"
,hr_setting,,"1"
,speed_setting,,"1"
,dist_setting,,"1"
,power_setting,,"1"
,activity_class,,"1"
,position_setting,,"1"
,temperature_setting,,"1"
,local_id,,"1"
,global_id,,"1"
,wake_time,,"0"
,sleep_time,,"0"
,height_setting,,"1"
,user_running_step_length,,"1"
,user_walking_step_length,,"1"
,depth_setting,,"0"
,dive_count,,"0"

hrm_profile,,,""
,message_index,,"1"
,enabled,,"1"
,hrm_ant_id,,"1"
,log_hrv,,"1"
,hrm_ant_id_trans_type,,"1"

sdm_profile,,,""
,message_index,,"1"
,enabled,,"1"
,sdm_ant_id,,"1"
,sdm_cal_factor,,"1"
,odometer,,"1"
,speed_source,,"1"
,sdm_ant_id_trans_type,,"1"
,odometer_rollover,,"1"

bike_profile,,,""
,message_index,,"1"
,name,,"16"
,sport,,"1"
,sub_sport,,"1"
,odometer,,"1"
,bike_spd_ant_id,,"1"
,bike_cad_ant_id,,"1"
,bike_spdcad_ant_id,,"1"
,bike_power_ant_id,,"1"
,custom_wheelsize,,"1"
,auto_wheelsize,,"1"
,bike_weight,,"1"
,power_cal_factor,,"1"
,auto_wheel_cal,,"1"
,auto_power_zero,,"1"
,id,,"1"
,spd_enabled,,"1"
,cad_enabled,,"1"
,spdcad_enabled,,"1"
,power_enabled,,"1"
,crank_length,,"1"
,enabled,,"1"
,bike_spd_ant_id_trans_type,,"1"
,bike_cad_ant_id_trans_type,,"1"
,bike_spdcad_ant_id_trans_type,,"1"
,bike_power_ant_id_trans_type,,"1"
,odometer_rollover,,"1"
,front_gear_num,,"1"
,front_gear,,"1"
,rear_gear_num,,"1"
,rear_gear,,"1"
,shimano_di2_enabled,,"1"

connectivity,,,""
,bluetooth_enabled,,"1"
,bluetooth_le_enabled,,"1"
,ant_enabled,,"1"
,name,,"24"
,live_tracking_enabled,,"1"
,weather_conditions_enabled,,"1"
,weather_alerts_enabled,,"1"
,auto_activity_upload_enabled,,"1"
,course_download_enabled,,"1"
,workout_download_enabled,,"1"
,gps_ephemeris_download_enabled,,"1"
,incident_detection_enabled,,"1"
,grouptrack_enabled,,"1"

watchface_settings,,,""
,message_index,,"0"
,mode,,"0"
,layout,,"0"

ohr_settings,,,""
,timestamp,,"0"
,enabled,,"0"

time_in_zone,,,""
,timestamp,,"0"
,reference_mesg,,"0"
,reference_index,,"0"
,time_in_hr_zone,,"0"
,time_in_speed_zone,,"0"
,time_in_cadence_zone,,"0"
,time_in_power_zone,,"0"
,hr_zone_high_boundary,,"0"
,speed_zone_high_boundary,,"0"
,cadence_zone_high_bondary,,"0"
,power_zone_high_boundary,,"0"
,hr_calc_type,,"0"
,max_heart_rate,,"0"
,resting_heart_rate,,"0"
,threshold_heart_rate,,"0"
,pwr_calc_type,,"0"
,functional_threshold_power,,"0"

zones_target,,,""
,max_heart_rate,,"1"
,threshold_heart_rate,,"1"
,functional_threshold_power,,"1"
,hr_calc_type,,"1"
,pwr_calc_type,,"1"

sport,,,""
,sport,,"1"
,sub_sport,,"1"
,name,,"16"

hr_zone,,,""
,message_index,,"1"
,high_bpm,,"1"
,name,,"16"

speed_zone,,,""
,message_index,,"1"
,high_value,,"1"
,name,,"16"

cadence_zone,,,""
,message_index,,"1"
,high_value,,"1"
,name,,"16"

power_zone,,,""
,message_index,,"1"
,high_value,,"1"
,name,,"16"

met_zone,,,""
,message_index,,"1"
,high_bpm,,"1"
,calories,,"1"
,fat_calories,,"1"

dive_settings,,,""
,timestamp,,"0"
,message_index,,"0"
,name,,"16"
,model,,"0"
,gf_low,,"0"
,gf_high,,"0"
,water_type,,"0"
,water_density,,"0"
,po2_warn,,"0"
,po2_critical,,"0"
,po2_deco,,"0"
,safety_stop_enabled,,"0"
,bottom_depth,,"0"
,bottom_time,,"0"
,apnea_countdown_enabled,,"0"
